unit_id;time;fdi;sav;gdp;gdp_ppp_pc;price;pop;gg_bal;gg_debt;dep_old;dep_young;fin_depth;trade;credit
ALB;2001;5,0671956;33,617;7,94;4651,256;3,121;0,326478;-6,604;58,543;11,64461;47,024398;66,552556;59,230181;46,724951
ALB;2002;3,0341351;28,726;4,231;4934,167;5,218;-0,261097;-6,09;62,839;12,018873;45,583004;65,330143;67,135909;47,042278
ALB;2003;3,1497905;31,094;5,74;5353,093;2,344;-0,589972;-4,888;58,825;12,403102;43,961778;64,969618;66,493639;46,852432
ALB;2004;4,572142;27,687;5,673;5845,831;2,869;-0,56041;-5,071;56,451;12,79144;42,210109;65,663526;64,84862;45,434901
ALB;2005;3,1334536;26,803;5,773;6426,27;2,363;-0,696636;-3,413;57,444;13,177707;40,369157;68,65024;68,599178;48,589475
ALB;2006;3,5602108;30,139;5,431;7037,3;2,371;-0,768592;-3,228;56,079;13,727022;38,424986;74,387922;74,241658;54,506269
ALB;2007;6,0954574;25,686;5,905;7719,569;2,937;-0,876016;-3,172;53,427;14,304117;36,558871;78,291699;83,7705;62,076757
ALB;2008;9,63387;18,019;7,536;8544,831;3,36;-0,952064;-4,884;55,134;14,907251;34,756537;75,480961;86,027357;66,511877
ALB;2009;11,151345;16,646;3,354;8986,797;2,251;-0,995716;-6,586;59,667;15,53842;33,098647;76,181664;83,359559;68,382326
ALB;2010;9,1340678;20,318;3,707;9525,042;3,605;-0,970881;-3,52;57,72;16,200533;31,684543;79,077794;85,464548;66,724743
ALB;2011;8,1408436;20,571;2,545;10065,541;3,43;-0,94522;-3,516;59,413;16,482709;30,237579;82,279701;90,762818;69,517562
ALB;2012;7,4533472;19,88;1,624;10517,939;2,038;-0,954239;-3,434;62,02;16,773461;29,062273;84,119651;85,167444;68,091293
ALB;2013;9,7067072;17,846;1,393;10947,647;1,932;-0,999295;-5,159;70,091;17,095177;28,152292;84,181352;87,690793;66,928126
DZA;2001;2,0237569;39,65;3;8562,028;4,2;1,457885;3,74;58,264;7,1625869;52,943334;54,331097;58,706163;36,289614
DZA;2002;1,8763118;38,484;5,6;9045,877;1,43;1,475142;1,164;54,683;7,2630746;50,350925;60,30347;61,134167;37,89117
DZA;2003;0,93378163;43,316;7,2;9744,437;4,259;1,488203;4,876;44,535;7,364464;48,013041;60,341405;62,124772;31,381675
DZA;2004;1,0335775;46,333;4,3;10287,738;3,972;1,497281;5,259;36,846;7,4666239;45,914797;56,690676;65,701425;21,746099
DZA;2005;1,1201744;51,861;5,9;11077,861;1,382;1,499545;13,629;27,218;7,5720442;44,0939;50,177163;71,278597;7,4347414
DZA;2006;1,5731375;54,575;1,684;11437,918;2,315;1,498382;13,945;26,865;7,6877375;42,712891;53,333537;70,730014;3,9392839
DZA;2007;1,2496466;56,964;3,373;11956,565;3,674;1,508755;6,133;13,935;7,8083285;41,679541;60,045048;71,938126;-3,3561058
DZA;2008;1,5430388;57,494;2,36;12214,403;4,855;2,141822;9,055;8,822;7,9390957;40,970906;58,822454;76,684522;-12,62223
DZA;2009;2,0021219;47,259;1,632;12267,94;5,743;1,93825;-5,466;10,814;8,0853767;40,55965;67,403957;71,324328;-9,1032185
DZA;2010;1,4267603;49,869;3,616;12612,951;3,913;1,99316;-0,388;11,663;8,2533124;40,428541;62,92157;69,866662;-6,4719986
