obs,log_Q_gasoline,log_P_gasoline,log_P_new_car,log_P_used_car,log_Income,time
1953,NA,2.8134907136,3.8543938926,3.2846635654,NA,1
1954,NA,2.834917773,3.8394523126,3.1223649245,NA,2
1955,NA,2.8454906102,3.8022081394,3.0680529351,NA,3
1956,NA,2.8752017169,3.83081295,3.0301337003,NA,4
1957,NA,2.9176085568,3.8815637979,3.1441522787,NA,5
1958,NA,2.9077749948,3.9120230054,3.1780538303,NA,6
1959,NA,2.921870425,3.9550824949,3.2884018875,NA,7
1960,-12.5703352238,2.95031641,3.9415818077,3.2188758249,9.187071745,8
1961,-12.5768121867,2.9404309578,3.9415818077,3.258096538,9.1945158216,9
1962,-12.5496717414,2.94669958,3.9376907522,3.3463891452,9.2326887756,10
1963,-12.5304200517,2.944281072,3.9318256327,3.3568971228,9.2493687589,11
1964,-12.4925329069,2.9377323293,3.9298629236,3.4011973817,9.3102762006,12
1965,-12.4576394002,2.9748660809,3.9060049331,3.3945083935,9.3439967568,13
1966,-12.4139631488,2.9976304708,3.8877303129,3.36729583,9.3910773406,14
1967,-12.3908683321,3.0301337003,3.897924081,3.3978584804,9.4269023119,15
1968,-12.3313896488,3.0447605046,3.9259259106,3.4242626546,9.4674601388,16
1969,-12.2763629447,3.0771279118,3.9415818077,3.4307561839,9.4773094028,17
1970,-12.230742585,3.0860299115,3.9702919136,3.4404180948,9.5153956525,18
1971,-12.1929718153,3.0933126019,4.0109629533,3.4965075615,9.547383874,19
1972,-12.1661174337,3.1061997266,4.0018637094,3.4995332824,9.5659147105,20
1973,-12.1258546691,3.197570469,4.003690194,3.5610460826,9.6361961697,21
1974,-12.1852555234,3.4982938439,4.0587173846,3.6027767551,9.6207266844,22
1975,-12.1648540723,3.5632595402,4.1415461637,3.7796338174,9.6521374093,23
1976,-12.1363172935,3.6048726498,4.2031989671,3.9180050771,9.660970032,24
1977,-12.1158521072,3.661174183,4.2541932632,4.0018637094,9.679781343,25
1978,-12.102935152,3.7036941723,4.3280982926,4.0217738694,9.721605899,26
1979,-12.1281206603,3.9964744419,4.4042772436,4.0976723523,9.7316904192,27
1980,-12.1976964015,4.3242518544,4.4818719696,4.1319614258,9.7238224642,28
1981,-12.192953882,4.4310310616,4.5400981892,4.3425058765,9.7436708511,29
1982,-12.1901962396,4.3791224215,4.5788262106,4.48638665,9.7658907645,30
1983,-12.1767054634,4.345881188,4.6041696857,4.5920849464,9.7790008474,31
1984,-12.154396835,4.3307991276,4.632785353,4.7229532216,9.8480805453,32
1985,-12.1442241225,4.3388450878,4.6643820456,4.7335634008,9.8844066647,33
1986,-12.1052171235,4.0972569837,4.7059200891,4.6895113344,9.9006836252,34
1987,-12.0877988605,4.1349745383,4.7414478043,4.7282723831,9.8935382217,35
1988,-12.0719268618,4.1434045313,4.7613188685,4.7706846245,9.9370190357,36
1989,-12.0593793205,4.2317413911,4.7808027546,4.7908195329,9.9545608227,37
1990,-12.0802421356,4.3616325825,4.7957905456,4.7672890355,9.9701644108,38
1991,-12.1046726912,4.348185426,4.8307108619,4.7715317232,9.9584017834,39
1992,-12.0787886459,4.3443247675,4.8551503913,4.8138090511,9.9760407452,40
1993,-12.0665548953,4.3341092146,4.8790068516,4.8970932527,9.9765056453,41
1994,-12.0651048376,4.3387798277,4.9126548857,4.9537121467,9.9895276246,42
1995,-12.0587782179,4.3544755656,4.9344739331,5.05305601,10.0033328875,43
1996,NA,4.4139612532,4.9515927535,5.0562458053,NA,44
1997,NA,4.4137554109,4.9537121467,5.0179418693,NA,45
1998,NA,4.274914586,4.9466299641,5.0146273154,NA,46
1999,NA,4.3593591576,4.9387811903,5.0238805208,NA,47
2000,NA,4.605170186,4.9387811903,5.0485731334,NA,48
2001,NA,4.5673540859,4.9337542498,5.0670156275,NA,49
2002,NA,4.5042995756,4.9221683128,5.0238805208,NA,50
2003,NA,4.6554259423,4.9030500834,4.9621450849,NA,51
2004,NA,4.8194828596,4.8970932527,4.8926022272,NA,52
