cena,produkcja,pojemnosc,moc,przebieg,bezwypadkowy,wlasciciel,paliwo,skrzynia
76900,2007,2000,163,156000,1,0,1,0
71500,2005,3000,231,63000,1,0,0,0
105900,2008,2000,177,97000,1,0,1,1
109000,2009,2000,177,81000,1,0,1,0
47000,2004,2200,170,129950,1,1,0,0
63000,2004,4398,333,110000,1,0,0,1
64000,2006,2000,163,175000,1,0,1,0
100000,2005,3000,286,159000,1,0,1,1
129800,2007,3000,286,143000,1,0,1,1
75800,2007,2000,177,80000,1,0,1,0
92000,2006,4799,367,86000,1,0,0,1
76800,2008,2000,177,163000,1,0,1,1
59900,2005,2500,177,89000,0,1,1,1
131900,2007,3000,286,150000,1,0,1,1
165900,2008,3000,235,111000,1,0,1,1
139800,2009,2000,177,9819,1,1,1,1
122000,2009,2000,177,42100,1,1,1,1
69900,2004,2500,177,196000,1,0,1,1
52900,2004,2500,177,214000,1,0,1,1
83000,2007,2000,177,34000,1,0,1,0
99000,2005,3000,272,112000,1,0,1,1
59500,2004,3000,218,136000,1,0,1,1
91400,2008,2000,177,104000,1,1,1,1
151000,2009,2000,177,14199,1,1,1,1
99999,2007,3000,231,103000,1,0,1,1
53500,2003,3000,218,187000,0,0,1,0
105000,2008,3000,233,75000,0,0,0,1
74000,2006,3000,223,46000,1,0,0,1
78900,2005,3000,272,105000,1,1,1,1
47500,2004,2200,170,101853,0,0,0,0
105000,2008,2000,177,52211,1,1,1,0
150000,2008,3000,235,125700,1,1,1,1
103500,2008,3000,306,35000,0,0,0,1
164900,2009,3000,197,26000,1,1,1,0
64500,2004,4398,333,90000,1,1,0,0
109900,2008,3000,306,25800,0,0,0,1
135000,2009,2200,170,26000,1,1,0,1
89000,2005,3000,258,87000,1,0,0,1
46500,2003,2200,170,240000,0,0,0,0
59500,2003,4397,333,192000,1,0,0,0
96500,2008,3000,234,18000,0,0,0,1
100000,2007,3000,258,17000,1,0,0,1
175000,2006,5000,507,70000,1,1,0,1
99000,2007,4799,367,93000,1,0,0,1
84000,2006,3000,218,25000,1,0,0,1
55000,2005,3000,258,125000,0,0,0,1
169900,2008,4799,367,24000,1,1,0,0
117000,2008,3000,258,15000,1,0,0,1
129900,2008,3000,306,43000,0,1,0,1
85800,2005,3000,218,140000,1,0,1,1
119000,2009,2000,177,43000,1,1,1,1
99900,2008,2000,177,60000,1,1,1,1
78900,2005,3000,218,110000,1,0,1,1
130000,2007,3000,286,118000,1,1,1,1
119900,2007,3000,286,83000,1,1,1,1
74900,2005,3000,272,120000,1,0,1,1
76900,2007,3000,197,171000,1,1,1,1
119900,2007,3000,235,120000,1,1,1,1
135900,2009,2000,177,32878,1,1,1,1
