Film;Oscar;rok;Id;budget;opening_weekend;gross;czas;rating;komentarze;zewnetrzne_zapowiedzi;oscar_actor;gatunek
Wings;1;1928;tt0018578;2000000;NA;NA;144;7,8;73;73;0;Drama
The Racket;0;1928;tt0019304;NA;NA;NA;84;6,9;22;11;0;Crime
7th Heaven;0;1928;tt0018379;NA;NA;NA;110;7,8;28;30;0;Drama
The Broadway Melody;1;1929;tt0019729;379000;NA;2808000;100;6,3;73;36;0;Drama
Alibi;0;1929;tt0019031;NA;NA;NA;NA;NA;NA;NA;0;Short
Hollywood Revue;0;1929;tt0019993;NA;NA;NA;118;7,5;41;8;0;Musical
In Old Arizona;0;1929;tt0020018;NA;NA;NA;95;5,8;24;24;0;Romance
The Patriot;0;1929;tt0019257;1000000;NA;NA;113;NA;3;2;1;Drama
All Quiet on the Western Front;1;1930;tt0020629;1448864;NA;3270000;145;8,1;204;91;0;Drama
The Big House;0;1930;tt0020686;NA;NA;NA;NA;7,2;19;21;0;Crime
Disraeli;0;1930;tt0019823;NA;NA;NA;90;6,4;18;13;0;Biography
The Divorcee;0;1930;tt0020827;340691;NA;NA;84;6,8;39;25;0;Romance
The Love Parade;0;1930;tt0020112;650000;NA;NA;107;7,2;27;23;0;Comedy
Cimarron;1;1931;tt0021746;1433000;NA;NA;123;6;63;33;0;Drama
East Lynne;0;1931;tt0021826;NA;NA;NA;102;7,1;7;4;0;Drama
The Front Page;0;1931;tt0021890;NA;NA;NA;101;6,9;24;23;0;Comedy
Skippy;0;1931;tt0022397;NA;NA;NA;85;6,3;5;13;0;Family
Trader Horn;0;1931;tt0022495;1312636;NA;NA;122;6,5;25;10;0;Adventure
Grand Hotel;1;1932;tt0022958;700000;NA;1235000;112;7,6;106;74;0;Drama
Arrowsmith;0;1932;tt0021622;NA;NA;NA;108;6,2;32;24;0;Drama
Bad Girl;0;1932;tt0021635;NA;NA;NA;90;6,7;12;11;0;Drama
The Champ;0;1932;tt0021730;NA;NA;NA;86;7,3;27;18;0;Drama
Five Star Final;0;1932;tt0021873;NA;NA;NA;89;7,3;39;21;0;Crime
One Hour with You;0;1932;tt0023303;NA;NA;NA;80;7,4;25;23;0;Comedy
Shanghai Express;0;1932;tt0023458;NA;NA;3700000;82;7,4;49;45;0;Adventure
The Smiling Lieutenant;0;1932;tt0022074;NA;NA;NA;89;7,8;32;22;0;Comedy
Cavalcade;1;1933;tt0023876;1180280;NA;7630000;112;6;40;41;0;Drama
42nd Street;0;1933;tt0024034;439000;NA;2300000;89;7,7;100;69;1;Comedy
