date;y;u
1996Q1;8.1;
1996Q2;8.4;
1996Q3;6.9;
1996Q4;2;
1997Q1;6.2;11.5
1997Q2;5.5;11
1997Q3;5.5;10.7
1997Q4;10.8;10.2
1998Q1;6.3;9.9
1998Q2;5.6;9.9
1998Q3;5.6;10.2
1998Q4;2.3;10.8
1999Q1;2.3;11.9
1999Q2;3.5;12.9
1999Q3;4.5;13.8
1999Q4;7.4;14.8
2000Q1;6.3;15.6
2000Q2;5.5;16.2
2000Q3;3.2;16.3
2000Q4;3;16.6
2001Q1;2.4;17.3
2001Q2;0.8;18.3
2001Q3;1.6;18.5
2001Q4;0.4;19.1
2002Q1;0.5;19.4
2002Q2;1.4;20
2002Q3;1.4;20.4
2002Q4;2.4;20.3
2003Q1;2.6;19.7
2003Q2;3.8;19.6
2003Q3;4.5;20
2003Q4;4.9;19.8
2004Q1;6.3;19.8
2004Q2;5.7;19.3
2004Q3;4.4;18.9
2004Q4;4.5;18.5
2005Q1;3.3;18.1
2005Q2;2.6;18.3
2005Q3;4.2;18.1
2005Q4;4.1;17.2
2006Q1;5.1;15.4
2006Q2;6.2;14.4
2006Q3;6.6;13.5
2006Q4;6.8;12.4
2007Q1;7;10.8
2007Q2;7;9.8
2007Q3;6.3;9.3
2007Q4;7.1;8.7
2008Q1;6.7;7.5
2008Q2;5.8;7.1
2008Q3;5.2;6.8
2008Q4;2.5;6.8
2009Q1;1.5;7.7
2009Q2;1.2;7.9
2009Q3;0.9;8.3
2009Q4;2.8;8.7
2010Q1;3.1;9.9
2010Q2;3.8;9.6
2010Q3;4.6;9.5
2010Q4;4;9.6
2011Q1;4.5;9.4
2011Q2;4.8;9.6
2011Q3;4.3;9.7
2011Q4;4.6;9.9
2012Q1;3.6;9.8
2012Q2;2.1;10.1
2012Q3;1.1;10.3
2012Q4;-0.1;10.3
2013Q1;-0.1;10.5
2013Q2;1.2;10.6
2013Q3;1.6;10.3
2013Q4;2.2;10
2014Q1;3.3;9.9
2014Q2;3.2;9.2
2014Q3;3;8.5
2014Q4;3.5;8.3
2015Q1;3.8;8
2015Q2;3.2;7.5
2015Q3;3.4;7.4
2015Q4;4;7.1
2016Q1;2.6;6.5
